pdb_id,chain_auth,chain_asym,label,description
1FYT,E,E,TCR_BETA,T-CELL RECEPTOR BETA CHAIN
1FYT,D,D,TCR_ALPHA,T-CELL RECEPTOR ALPHA CHAIN
1FYT,C,C,PEPTIDE,HEMAGGLUTININ HA1 PEPTIDE CHAIN
1FYT,B,B,MHC,"HLA CLASS II HISTOCOMPATIBILITY ANTIGEN, DR-1 BETA CHAIN"
1FYT,A,A,MHC,"HLA CLASS II HISTOCOMPATIBILITY ANTIGEN, DR ALPHA CHAIN"
1J8H,B,B,MHC,"HLA CLASS II HISTOCOMPATIBILITY ANTIGEN, DR-4 BETA CHAIN"
1J8H,E,E,TCR_BETA,T-CELL RECEPTOR BETA CHAIN
1J8H,D,D,TCR_ALPHA,T-CELL RECEPTOR ALPHA CHAIN
1J8H,C,C,PEPTIDE,HEMAGGLUTININ HA1 PEPTIDE CHAIN
1J8H,A,A,MHC,"HLA CLASS II HISTOCOMPATIBILITY ANTIGEN, DR ALPHA CHAIN"
1YMM,B,B,MHC,"HLA class II histocompatibility antigen, DR beta chain"
1YMM,E,E,TCR_BETA,T-cell receptor beta chain
1YMM,D,D,TCR_ALPHA,T cell receptor alpha chain
1YMM,C,C,PEPTIDE,MBP peptide
1YMM,A,A,MHC,"HLA class II histocompatibility antigen, DR alpha chain"
1ZGL,L,R,PEPTIDE,Myelin basic protein
1ZGL,I,M,PEPTIDE,Myelin basic protein
1ZGL,F,H,PEPTIDE,Myelin basic protein
1ZGL,C,C,PEPTIDE,Myelin basic protein
1ZGL,V,T,TCR_BETA,T cell receptor beta chain
1ZGL,T,O,TCR_BETA,T cell receptor beta chain
1ZGL,R,J,TCR_BETA,T cell receptor beta chain
1ZGL,P,E,TCR_BETA,T cell receptor beta chain
1ZGL,U,S,TCR_ALPHA,T cell receptor alpha chain
1ZGL,S,N,TCR_ALPHA,T cell receptor alpha chain
1ZGL,Q,I,TCR_ALPHA,T cell receptor alpha chain
1ZGL,M,D,TCR_ALPHA,T cell receptor alpha chain
1ZGL,K,Q,MHC,"major histocompatibility complex, class II, DR beta 5"
1ZGL,H,L,MHC,"major histocompatibility complex, class II, DR beta 5"
1ZGL,E,G,MHC,"major histocompatibility complex, class II, DR beta 5"
